warning: Verus does not (yet) support autoderive Clone impl when the clone is not a copy; continuing, but without adding a specification for the derived Clone impl
  --> src/Chap65/PrimStEph.rs:37:14
   |
37 |     #[derive(Clone, PartialEq, Eq)]
        PASS [   1.454s] rust_verify_test::Provetable_of_contents_standard toc_standard_loop_borrow_into
        PASS [   1.439s] rust_verify_test::Provetable_of_contents_standard toc_standard_loop_borrow_iter
        PASS [   1.397s] rust_verify_test::Provetable_of_contents_standard toc_standard_loop_consume
        PASS [   1.301s] rust_verify_test::Proveusing_closures_standard closures_ghost_spec_fn
        PASS [   1.475s] rust_verify_test::Proveusing_closures_standard closures_inline_requires_ensures
        PASS [   1.396s] rust_verify_test::Proveusing_closures_standard closures_let_bind_ensures
        PASS [   1.449s] rust_verify_test::Proveusing_closures_standard closures_map_apply
        PASS [   1.430s] rust_verify_test::Proveview_standard view_standard_collection
        PASS [   1.446s] rust_verify_test::Proveview_standard view_standard_for_borrow_into
        PASS [   1.543s] rust_verify_test::Proveview_standard view_standard_for_borrow_iter
        PASS [   1.411s] rust_verify_test::Proveview_standard view_standard_for_consume
        PASS [   1.401s] rust_verify_test::Proveview_standard view_standard_loop_borrow_into
        PASS [   1.384s] rust_verify_test::Proveview_standard view_standard_loop_consume
        PASS [   1.441s] rust_verify_test::Proveview_standard view_standard_loop_borrow_iter
        PASS [   1.418s] rust_verify_test::Proveview_standard view_standard_simple
        PASS [   1.409s] rust_verify_test::Provewrapping_iterators_standard wrapping_for_borrow_into
        PASS [   1.490s] rust_verify_test::Provewrapping_iterators_standard wrapping_for_borrow_iter
        PASS [   1.379s] rust_verify_test::Provewrapping_iterators_standard wrapping_loop_borrow_into
        PASS [   1.561s] rust_verify_test::Provewrapping_iterators_standard wrapping_loop_borrow_iter
        PASS [   1.548s] rust_verify_test::RelationStEph relation_st_eph_for_iter
        PASS [   1.634s] rust_verify_test::RelationStEph relation_st_eph_loop_loop
        PASS [   1.547s] rust_verify_test::SetMtEph set_mt_eph_for_iter
        PASS [   1.452s] rust_verify_test::SetMtEph set_mt_eph_loop_loop
        PASS [   1.484s] rust_verify_test::SetMtEph set_mt_eph_from_vec
        PASS [   1.425s] rust_verify_test::SetStEph set_st_eph_from_vec
        PASS [   1.474s] rust_verify_test::SetStEph set_st_eph_for_iter
        PASS [   1.378s] rust_verify_test::SetStEph set_st_eph_loop_loop
        PASS [   1.340s] rust_verify_test::prove_MathSeq_iters mathseq_iter_nested
        PASS [   1.334s] rust_verify_test::prove_MathSeq_iters mathseq_iter_range
        PASS [   1.415s] rust_verify_test::prove_MathSeq_iters mathseq_iter_consuming
────────────
     Summary [  45.599s] 157 tests run: 157 passed, 0 skipped
Elapsed: 125s
